character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
岳,0,1,3,5,5,1,0,0,0,0,0,0,15,0,1000.0
真,0,0,0,2,0,0,0,0,2,4,7,0,2,13,0.04
武,0,0,3,6,5,1,0,0,0,0,0,0,15,0,1000.0
淵,0,0,1,5,7,2,0,0,0,0,0,0,15,0,1000.0
燕,0,0,0,0,0,0,0,0,1,6,7,1,0,15,0.001
森,0,0,3,6,4,2,0,0,0,0,0,0,15,0,1000.0
大,0,1,2,6,5,1,0,0,0,0,0,0,15,0,1000.0
剛,0,1,6,4,1,3,0,0,0,0,0,0,15,0,1000.0
叡,0,1,8,4,1,0,0,0,0,0,0,0,14,0,1000.0
慈,0,1,0,0,0,0,0,3,5,4,1,0,1,13,0.02
星,0,1,7,4,1,1,0,0,0,0,0,0,14,0,1000.0
泓,0,3,3,6,1,1,0,0,0,0,0,0,14,0,1000.0
昀,0,1,4,2,3,0,0,1,3,0,0,0,10,4,0.67
貴,0,0,2,4,3,2,0,0,0,0,3,0,11,3,0.98
鵬,1,1,1,4,6,1,0,0,0,0,0,0,14,0,1000.0
蘭,0,0,0,0,0,0,0,0,1,4,9,0,0,14,0.001
繼,0,1,2,5,2,3,0,1,0,0,0,0,13,1,3.47
鑫,0,0,3,8,3,0,0,0,0,0,0,0,14,0,1000.0
菁,0,0,0,0,0,0,0,1,1,8,3,1,0,14,0.001
原,0,0,4,7,2,0,0,0,1,0,0,0,13,1,3.47
蓁,0,0,0,0,1,0,0,1,4,6,2,0,1,13,0.02
寶,0,0,1,3,2,2,0,0,1,3,2,0,8,6,0.36
男,0,0,0,8,4,2,0,0,0,0,0,0,14,0,1000.0
茹,0,0,0,0,0,0,0,1,3,7,3,0,0,14,0.001
萱,0,0,0,0,0,0,0,2,7,2,3,0,0,14,0.001
恒,0,0,1,11,2,0,0,0,0,0,0,0,14,0,1000.0
林,0,1,2,4,5,2,0,0,0,0,0,0,14,0,1000.0
尚,0,2,5,4,1,1,0,0,1,0,0,0,13,1,3.47
于,0,1,3,5,0,0,0,0,2,3,0,0,9,5,0.48
均,0,2,6,4,1,0,0,0,1,0,0,0,13,1,3.47
盛,0,1,8,3,2,0,0,0,0,0,0,0,14,0,1000.0
容,0,0,1,1,0,0,0,3,2,6,1,0,2,12,0.04
仕,0,0,5,7,0,1,0,0,0,0,0,0,13,0,1000.0
